19371 132086 
19401 126878 
19567 125559 
19570 125515 
19583 125081 
19608 123082 
19774 121763 
19777 121719 
19830 120643 
19833 120599 
19948 120289 
19951 120245 
19959 118329 
20004 116085 
20178 114611 
20419 113049 
20593 111575 
20709 111244 
20724 110549 
20741 109738 
20783 106147 
21062 105969 
21126 104213 
21198 103111 
21296 102239 
21363 100274 
21582 99379 
21744 99049 
21788 98877 
21953 96505 
22300 94961 
22566 94436 
22651 94422 
22675 94170 
22772 93934 
22837 93840 
22868 92128 
22937 91562 
23121 91488 
23143 91060 
23300 90430 
23399 90322 
23551 88551 
23671 87556 
23961 86919 
24030 86353 
24214 86279 
24236 85851 
24420 85777 
24437 84230 
25100 84021 
25178 83290 
25195 82633 
25297 81407 
25440 81288 
25485 80480 
25508 79890 
25561 79451 
25744 79311 
25822 79063 
25851 78850 
26010 78136 
26256 77820 
26278 77450 
26537 76082 
26581 75977 
26756 75148 
26908 73395 
27049 72304 
27243 72225 
27248 71910 
27363 70850 
27395 70472 
27509 68158 
27616 67697 
28248 63952 
28582 63118 
28998 63029 
29091 62820 
29105 62568 
29198 62359 
29332 62195 
29528 61472 
29769 60847 
29862 60638 
30087 60455 
31163 60408 
31261 60119 
31270 59947 
31429 59855 
31497 59574 
31523 59513 
31604 59113 
31725 58890 
31857 58679 
31866 58507 
31961 58345 
32068 57884 
32200 57673 
32321 57450 
32505 57400 
32524 57157 
32612 56939 
32664 56444 
32946 56105 
33120 55717 
33270 55589 
33343 55510 
33410 54876 
33677 54676 
34001 54160 
34141 53447 
34589 53253 
34733 53056 
34865 52845 
35053 52024 
35329 51616 
35648 51005 
36118 50996 
36131 50602 
36139 50499 
36158 50457 
36189 49991 
36587 49906 
36595 49803 
36890 49752 
37140 49718 
37141 49078 
37346 48626 
37354 48523 
37672 48498 
37680 48395 
37810 48309 
37818 48206 
38061 48034 
38460 47701 
38709 47639 
38717 47536 
39035 47511 
39043 47408 
39181 47219 
39327 47153 
39424 47047 
39763 46775 
39918 46364 
40025 45903 
40951 45738 
41082 45669 
41098 45618 
41182 45584 
41229 45360 
41347 45223 
41394 44999 
41585 44902 
41694 44840 
41827 44688 
41917 44621 
42018 44591 
42127 44529 
42256 44452 
42273 44287 
42303 44228 
42489 44157 
42573 44128 
42582 43962 
42736 43917 
42773 43865 
42904 43796 
42920 43740 
42952 43623 
43051 43487 
43085 43379 
43169 43350 
43216 43126 
43516 42967 
43548 42845 
43649 42815 
43929 42746 
43949 42656 
44133 42479 
44239 42450 
44298 42118 
44404 42089 
44679 42019 
44785 41990 
44801 41872 
45171 41779 
45182 41773 
45533 41605 
45588 41585 
45698 41244 
45954 41120 
45998 41085 
46267 40981 
46501 40839 
46584 40686 
47353 40633 
47395 40580 
47439 40545 
47486 40494 
47505 40474 
47591 40325 
47685 40138 
47941 40014 
47949 39855 
48355 39667 
48999 39192 
49308 38960 
49421 38707 
49660 38535 
50425 38445 
50426 38236 
50538 38192 
50591 37875 
50910 37832 
50972 37822 
51535 37757 
51647 37713 
51700 37396 
51792 37093 
52002 36852 
52631 36736 
52715 36469 
52925 36228 
53624 36077 
54027 35756 
54979 35602 
55144 35241 
56097 35204 
56411 35148 
56439 35108 
56502 34907 
56663 34893 
56859 34311 
58516 34206 
59155 34188 
59194 34155 
59363 33615 
60753 33608 
60914 33594 
61029 33569 
61169 33487 
61273 33305 
62251 33147 
62573 32985 
62641 32982 
62734 32871 
63553 32826 
63610 32795 
63745 32749 
63771 32681 
63834 32580 
63863 32560 
64185 32398 
64291 32372 
64346 32284 
65222 32208 
65357 32162 
65383 32094 
65446 31993 
65657 31903 
65660 31774 
66194 31615 
66670 30765 
67941 30359 
68456 30008 
69077 29718 
70172 29589 
70577 29576 
71289 29460 
71470 28677 
72732 28608 
72897 28399 
73186 28258 
73591 28245 
73669 28163 
74123 27813 
75287 27788 
75499 27636 
75603 27629 
75707 27561 
75925 27503 
76161 27211 
76754 27075 
77375 26785 
78556 26765 
78792 26473 
80211 26466 
80272 26289 
80976 26283 
81053 26276 
81309 26099 
82314 26083 
82348 26081 
82706 26005 
82778 25931 
83615 25881 
83759 25802 
84019 25665 
84298 25610 
84513 25436 
86151 25203 
87377 25183 
88031 25174 
88284 25068 
88992 25003 
90496 24990 
90516 24974 
90640 24731 
91440 24694 
91607 24410 
93132 24272 
93715 24256 
93853 24178 
94612 24088 
94847 24055 
95333 23994 
95566 23988 
95606 23965 
95649 23898 
96287 23894 
96327 23871 
96370 23804 
96453 23743 
97364 23681 
97824 23625 
98083 23614 
98103 23599 
98733 23578 
98804 23520 
99077 23491 
99097 23476 
99413 23443 
99712 23409 
99798 23397 
100390 23382 
100448 23361 
100837 23327 
100893 23259 
101290 23206 
101359 23052 
103016 23026 
103861 22908 
105341 22769 
105674 22759 
105717 22692 
106395 22665 
106438 22598 
107830 22504 
108392 22491 
108728 22344 
110077 22062 
111065 22058 
111370 21880 
111557 21878 
112199 21819 
112407 21690 
113023 21652 
113368 21593 
113400 21580 
113686 21556 
113887 21506 
114002 21289 
115601 21093 
116761 20971 
116831 20891 
118100 20633 
118575 20626 
119379 20499 
119580 20449 
120196 20411 
120859 20315 
121823 20200 
122664 20129 
122884 20050 
123658 20002 
123943 19995 
124163 19916 
124364 19866 
125138 19818 
125643 19732 
126417 19684 
127576 19671 
127772 19666 
127799 19502 
128998 19294 
131328 19190 
131529 19140 
131684 18986 
132343 18691 
139928 18504 
