14278 234820 
16108 221618 
16732 177194 
18062 157655 
19911 152161 
20340 137414 
21490 134719 
21857 130537 
22465 119471 
24410 117830 
25496 100526 
27683 99919 
27993 96422 
28687 96243 
30400 89032 
30846 83378 
32505 79747 
34369 78157 
35253 73827 
36599 70550 
37141 69247 
39177 65682 
39184 62956 
41788 61598 
42936 58518 
46432 55669 
47964 54555 
51357 52224 
51838 45685 
55855 43127 
59042 42986 
60438 42261 
62396 38427 
68591 37115 
70246 35174 
74628 29702 
97274 28790 
97587 26209 
98196 24515 
110298 24179 
118316 22585 
120375 22467 
121555 20270 
129975 19977 
141618 18438 
147408 18271 
155709 17508 
187879 16203 
197528 16144 
217276 13723 
