14992 196389 
16058 192402 
16392 181373 
17924 149113 
19489 138347 
21060 135626 
21306 133740 
21857 131333 
22634 124465 
22821 113028 
25534 109007 
25986 98439 
27432 93696 
29035 89398 
30041 85592 
31568 77021 
34337 72734 
34708 71891 
36490 71058 
36558 63741 
41146 60786 
42072 57978 
45827 52825 
48878 51161 
48957 50766 
50285 48264 
50928 47748 
54404 44544 
54825 42588 
57937 40067 
62932 38649 
64333 35571 
64467 34620 
67703 33122 
67912 32332 
74328 29610 
84762 26649 
98599 23594 
104024 22779 
110466 22699 
119548 22286 
128416 19118 
149945 16671 
199977 15145 
202062 15107 
